|  题号  |  题解  |  标签  |  难度  | 备注 |
|  [0720](https://leetcode.com/problems/longest-word-in-dictionary)  |  [Longest Word in Dictionary](leetcode/0700-0799/0720.Longest%20Word%20in%20Dictionary/README_EN.md)  |  `Trie`,`Hash Table`  |  Easy  |    |
|  [0721](https://leetcode.com/problems/accounts-merge)  |  [Accounts Merge](leetcode/0700-0799/0721.Accounts%20Merge/README_EN.md)  |  `Depth-first Search`,`Union Find`  |  Medium  |    |
|  [0722](https://leetcode.com/problems/remove-comments)  |  [Remove Comments](leetcode/0700-0799/0722.Remove%20Comments/README_EN.md)  |  `String`  |  Medium  |    |
|  [0723](https://leetcode.com/problems/candy-crush)  |  [Candy Crush](leetcode/0700-0799/0723.Candy%20Crush/README_EN.md)  |  `Array`,`Two Pointers`  |  Medium  |  🔒  |
|  [0724](https://leetcode.com/problems/find-pivot-index)  |  [Find Pivot Index](leetcode/0700-0799/0724.Find%20Pivot%20Index/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0725](https://leetcode.com/problems/split-linked-list-in-parts)  |  [Split Linked List in Parts](leetcode/0700-0799/0725.Split%20Linked%20List%20in%20Parts/README_EN.md)  |  `Linked List`  |  Medium  |    |
|  [0726](https://leetcode.com/problems/number-of-atoms)  |  [Number of Atoms](leetcode/0700-0799/0726.Number%20of%20Atoms/README_EN.md)  |  `Stack`,`Recursion`,`Hash Table`  |  Hard  |    |
|  [0727](https://leetcode.com/problems/minimum-window-subsequence)  |  [Minimum Window Subsequence](leetcode/0700-0799/0727.Minimum%20Window%20Subsequence/README_EN.md)  |  `Dynamic Programming`,`Sliding Window`  |  Hard  |  🔒  |
|  [0728](https://leetcode.com/problems/self-dividing-numbers)  |  [Self Dividing Numbers](leetcode/0700-0799/0728.Self%20Dividing%20Numbers/README_EN.md)  |  `Math`  |  Easy  |    |
|  [0729](https://leetcode.com/problems/my-calendar-i)  |  [My Calendar I](leetcode/0700-0799/0729.My%20Calendar%20I/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0730](https://leetcode.com/problems/count-different-palindromic-subsequences)  |  [Count Different Palindromic Subsequences](leetcode/0700-0799/0730.Count%20Different%20Palindromic%20Subsequences/README_EN.md)  |  `String`,`Dynamic Programming`  |  Hard  |    |
|  [0731](https://leetcode.com/problems/my-calendar-ii)  |  [My Calendar II](leetcode/0700-0799/0731.My%20Calendar%20II/README_EN.md)  |  `Ordered Map`  |  Medium  |    |
|  [0732](https://leetcode.com/problems/my-calendar-iii)  |  [My Calendar III](leetcode/0700-0799/0732.My%20Calendar%20III/README_EN.md)  |  `Segment Tree`,`Ordered Map`  |  Hard  |    |
|  [0733](https://leetcode.com/problems/flood-fill)  |  [Flood Fill](leetcode/0700-0799/0733.Flood%20Fill/README_EN.md)  |  `Depth-first Search`  |  Easy  |    |
|  [0734](https://leetcode.com/problems/sentence-similarity)  |  [Sentence Similarity](leetcode/0700-0799/0734.Sentence%20Similarity/README_EN.md)  |  `Hash Table`  |  Easy  |  🔒  |
|  [0735](https://leetcode.com/problems/asteroid-collision)  |  [Asteroid Collision](leetcode/0700-0799/0735.Asteroid%20Collision/README_EN.md)  |  `Stack`  |  Medium  |    |
|  [0736](https://leetcode.com/problems/parse-lisp-expression)  |  [Parse Lisp Expression](leetcode/0700-0799/0736.Parse%20Lisp%20Expression/README_EN.md)  |  `String`  |  Hard  |    |
|  [0737](https://leetcode.com/problems/sentence-similarity-ii)  |  [Sentence Similarity II](leetcode/0700-0799/0737.Sentence%20Similarity%20II/README_EN.md)  |  `Depth-first Search`,`Union Find`  |  Medium  |  🔒  |
|  [0738](https://leetcode.com/problems/monotone-increasing-digits)  |  [Monotone Increasing Digits](leetcode/0700-0799/0738.Monotone%20Increasing%20Digits/README_EN.md)  |  `Greedy`  |  Medium  |    |
|  [0739](https://leetcode.com/problems/daily-temperatures)  |  [Daily Temperatures](leetcode/0700-0799/0739.Daily%20Temperatures/README_EN.md)  |  `Stack`,`Hash Table`  |  Medium  |    |
|  [0740](https://leetcode.com/problems/delete-and-earn)  |  [Delete and Earn](leetcode/0700-0799/0740.Delete%20and%20Earn/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0741](https://leetcode.com/problems/cherry-pickup)  |  [Cherry Pickup](leetcode/0700-0799/0741.Cherry%20Pickup/README_EN.md)  |  `Dynamic Programming`  |  Hard  |    |
|  [0742](https://leetcode.com/problems/closest-leaf-in-a-binary-tree)  |  [Closest Leaf in a Binary Tree](leetcode/0700-0799/0742.Closest%20Leaf%20in%20a%20Binary%20Tree/README_EN.md)  |  `Tree`  |  Medium  |  🔒  |
|  [0743](https://leetcode.com/problems/network-delay-time)  |  [Network Delay Time](leetcode/0700-0799/0743.Network%20Delay%20Time/README_EN.md)  |  `Heap`,`Depth-first Search`,`Breadth-first Search`,`Graph`  |  Medium  |    |
|  [0744](https://leetcode.com/problems/find-smallest-letter-greater-than-target)  |  [Find Smallest Letter Greater Than Target](leetcode/0700-0799/0744.Find%20Smallest%20Letter%20Greater%20Than%20Target/README_EN.md)  |  `Binary Search`  |  Easy  |    |
|  [0745](https://leetcode.com/problems/prefix-and-suffix-search)  |  [Prefix and Suffix Search](leetcode/0700-0799/0745.Prefix%20and%20Suffix%20Search/README_EN.md)  |  `Trie`  |  Hard  |    |
|  [0746](https://leetcode.com/problems/min-cost-climbing-stairs)  |  [Min Cost Climbing Stairs](leetcode/0700-0799/0746.Min%20Cost%20Climbing%20Stairs/README_EN.md)  |  `Array`,`Dynamic Programming`  |  Easy  |    |
|  [0747](https://leetcode.com/problems/largest-number-at-least-twice-of-others)  |  [Largest Number At Least Twice of Others](leetcode/0700-0799/0747.Largest%20Number%20At%20Least%20Twice%20of%20Others/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0748](https://leetcode.com/problems/shortest-completing-word)  |  [Shortest Completing Word](leetcode/0700-0799/0748.Shortest%20Completing%20Word/README_EN.md)  |  `Hash Table`  |  Easy  |    |
|  [0749](https://leetcode.com/problems/contain-virus)  |  [Contain Virus](leetcode/0700-0799/0749.Contain%20Virus/README_EN.md)  |  `Depth-first Search`  |  Hard  |    |
|  [0750](https://leetcode.com/problems/number-of-corner-rectangles)  |  [Number Of Corner Rectangles](leetcode/0700-0799/0750.Number%20Of%20Corner%20Rectangles/README_EN.md)  |  `Dynamic Programming`  |  Medium  |  🔒  |
|  [0751](https://leetcode.com/problems/ip-to-cidr)  |  [IP to CIDR](leetcode/0700-0799/0751.IP%20to%20CIDR/README_EN.md)  |  `Bit Manipulation`  |  Easy  |  🔒  |
|  [0752](https://leetcode.com/problems/open-the-lock)  |  [Open the Lock](leetcode/0700-0799/0752.Open%20the%20Lock/README_EN.md)  |  `Breadth-first Search`  |  Medium  |    |
|  [0753](https://leetcode.com/problems/cracking-the-safe)  |  [Cracking the Safe](leetcode/0700-0799/0753.Cracking%20the%20Safe/README_EN.md)  |  `Depth-first Search`,`Math`  |  Hard  |    |
|  [0754](https://leetcode.com/problems/reach-a-number)  |  [Reach a Number](leetcode/0700-0799/0754.Reach%20a%20Number/README_EN.md)  |  `Math`  |  Medium  |    |
|  [0755](https://leetcode.com/problems/pour-water)  |  [Pour Water](leetcode/0700-0799/0755.Pour%20Water/README_EN.md)  |  `Array`  |  Medium  |  🔒  |
|  [0756](https://leetcode.com/problems/pyramid-transition-matrix)  |  [Pyramid Transition Matrix](leetcode/0700-0799/0756.Pyramid%20Transition%20Matrix/README_EN.md)  |  `Bit Manipulation`,`Depth-first Search`  |  Medium  |    |
|  [0757](https://leetcode.com/problems/set-intersection-size-at-least-two)  |  [Set Intersection Size At Least Two](leetcode/0700-0799/0757.Set%20Intersection%20Size%20At%20Least%20Two/README_EN.md)  |  `Greedy`  |  Hard  |    |
|  [0758](https://leetcode.com/problems/bold-words-in-string)  |  [Bold Words in String](leetcode/0700-0799/0758.Bold%20Words%20in%20String/README_EN.md)  |  `String`  |  Easy  |  🔒  |
|  [0759](https://leetcode.com/problems/employee-free-time)  |  [Employee Free Time](leetcode/0700-0799/0759.Employee%20Free%20Time/README_EN.md)  |  `Heap`,`Greedy`  |  Hard  |  🔒  |
|  [0760](https://leetcode.com/problems/find-anagram-mappings)  |  [Find Anagram Mappings](leetcode/0700-0799/0760.Find%20Anagram%20Mappings/README_EN.md)  |  `Hash Table`  |  Easy  |  🔒  |
|  [0761](https://leetcode.com/problems/special-binary-string)  |  [Special Binary String](leetcode/0700-0799/0761.Special%20Binary%20String/README_EN.md)  |  `Recursion`,`String`  |  Hard  |    |
|  [0762](https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation)  |  [Prime Number of Set Bits in Binary Representation](leetcode/0700-0799/0762.Prime%20Number%20of%20Set%20Bits%20in%20Binary%20Representation/README_EN.md)  |  `Bit Manipulation`  |  Easy  |    |
|  [0763](https://leetcode.com/problems/partition-labels)  |  [Partition Labels](leetcode/0700-0799/0763.Partition%20Labels/README_EN.md)  |  `Greedy`,`Two Pointers`  |  Medium  |    |
|  [0764](https://leetcode.com/problems/largest-plus-sign)  |  [Largest Plus Sign](leetcode/0700-0799/0764.Largest%20Plus%20Sign/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0765](https://leetcode.com/problems/couples-holding-hands)  |  [Couples Holding Hands](leetcode/0700-0799/0765.Couples%20Holding%20Hands/README_EN.md)  |  `Greedy`,`Union Find`,`Graph`  |  Hard  |    |
|  [0766](https://leetcode.com/problems/toeplitz-matrix)  |  [Toeplitz Matrix](leetcode/0700-0799/0766.Toeplitz%20Matrix/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0767](https://leetcode.com/problems/reorganize-string)  |  [Reorganize String](leetcode/0700-0799/0767.Reorganize%20String/README_EN.md)  |  `Heap`,`Greedy`,`Sort`,`String`  |  Medium  |    |
|  [0768](https://leetcode.com/problems/max-chunks-to-make-sorted-ii)  |  [Max Chunks To Make Sorted II](leetcode/0700-0799/0768.Max%20Chunks%20To%20Make%20Sorted%20II/README_EN.md)  |  `Array`  |  Hard  |    |
|  [0769](https://leetcode.com/problems/max-chunks-to-make-sorted)  |  [Max Chunks To Make Sorted](leetcode/0700-0799/0769.Max%20Chunks%20To%20Make%20Sorted/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0770](https://leetcode.com/problems/basic-calculator-iv)  |  [Basic Calculator IV](leetcode/0700-0799/0770.Basic%20Calculator%20IV/README_EN.md)  |  `Stack`,`Hash Table`,`String`  |  Hard  |    |
|  [0771](https://leetcode.com/problems/jewels-and-stones)  |  [Jewels and Stones](leetcode/0700-0799/0771.Jewels%20and%20Stones/README_EN.md)  |  `Hash Table`  |  Easy  |    |
|  [0772](https://leetcode.com/problems/basic-calculator-iii)  |  [Basic Calculator III](leetcode/0700-0799/0772.Basic%20Calculator%20III/README_EN.md)  |  `Stack`,`String`  |  Hard  |  🔒  |
|  [0773](https://leetcode.com/problems/sliding-puzzle)  |  [Sliding Puzzle](leetcode/0700-0799/0773.Sliding%20Puzzle/README_EN.md)  |  `Breadth-first Search`  |  Hard  |    |
|  [0774](https://leetcode.com/problems/minimize-max-distance-to-gas-station)  |  [Minimize Max Distance to Gas Station](leetcode/0700-0799/0774.Minimize%20Max%20Distance%20to%20Gas%20Station/README_EN.md)  |  `Binary Search`  |  Hard  |  🔒  |
|  [0775](https://leetcode.com/problems/global-and-local-inversions)  |  [Global and Local Inversions](leetcode/0700-0799/0775.Global%20and%20Local%20Inversions/README_EN.md)  |  `Array`,`Math`  |  Medium  |    |
|  [0776](https://leetcode.com/problems/split-bst)  |  [Split BST](leetcode/0700-0799/0776.Split%20BST/README_EN.md)  |  `Tree`,`Recursion`  |  Medium  |  🔒  |
|  [0777](https://leetcode.com/problems/swap-adjacent-in-lr-string)  |  [Swap Adjacent in LR String](leetcode/0700-0799/0777.Swap%20Adjacent%20in%20LR%20String/README_EN.md)  |  `Brainteaser`  |  Medium  |    |
|  [0778](https://leetcode.com/problems/swim-in-rising-water)  |  [Swim in Rising Water](leetcode/0700-0799/0778.Swim%20in%20Rising%20Water/README_EN.md)  |  `Heap`,`Depth-first Search`,`Union Find`,`Binary Search`  |  Hard  |    |
|  [0779](https://leetcode.com/problems/k-th-symbol-in-grammar)  |  [K-th Symbol in Grammar](leetcode/0700-0799/0779.K-th%20Symbol%20in%20Grammar/README_EN.md)  |  `Recursion`  |  Medium  |    |
|  [0780](https://leetcode.com/problems/reaching-points)  |  [Reaching Points](leetcode/0700-0799/0780.Reaching%20Points/README_EN.md)  |  `Math`  |  Hard  |    |
|  [0781](https://leetcode.com/problems/rabbits-in-forest)  |  [Rabbits in Forest](leetcode/0700-0799/0781.Rabbits%20in%20Forest/README_EN.md)  |  `Hash Table`,`Math`  |  Medium  |    |
|  [0782](https://leetcode.com/problems/transform-to-chessboard)  |  [Transform to Chessboard](leetcode/0700-0799/0782.Transform%20to%20Chessboard/README_EN.md)  |  `Array`,`Math`  |  Hard  |    |
|  [0783](https://leetcode.com/problems/minimum-distance-between-bst-nodes)  |  [Minimum Distance Between BST Nodes](leetcode/0700-0799/0783.Minimum%20Distance%20Between%20BST%20Nodes/README_EN.md)  |  `Tree`,`Recursion`  |  Easy  |    |
|  [0784](https://leetcode.com/problems/letter-case-permutation)  |  [Letter Case Permutation](leetcode/0700-0799/0784.Letter%20Case%20Permutation/README_EN.md)  |  `Bit Manipulation`,`Backtracking`  |  Medium  |    |
|  [0785](https://leetcode.com/problems/is-graph-bipartite)  |  [Is Graph Bipartite?](leetcode/0700-0799/0785.Is%20Graph%20Bipartite%3F/README_EN.md)  |  `Depth-first Search`,`Breadth-first Search`,`Graph`  |  Medium  |    |
|  [0786](https://leetcode.com/problems/k-th-smallest-prime-fraction)  |  [K-th Smallest Prime Fraction](leetcode/0700-0799/0786.K-th%20Smallest%20Prime%20Fraction/README_EN.md)  |  `Heap`,`Binary Search`  |  Hard  |    |
|  [0787](https://leetcode.com/problems/cheapest-flights-within-k-stops)  |  [Cheapest Flights Within K Stops](leetcode/0700-0799/0787.Cheapest%20Flights%20Within%20K%20Stops/README_EN.md)  |  `Heap`,`Breadth-first Search`,`Dynamic Programming`  |  Medium  |    |
|  [0788](https://leetcode.com/problems/rotated-digits)  |  [Rotated Digits](leetcode/0700-0799/0788.Rotated%20Digits/README_EN.md)  |  `String`  |  Easy  |    |
|  [0789](https://leetcode.com/problems/escape-the-ghosts)  |  [Escape The Ghosts](leetcode/0700-0799/0789.Escape%20The%20Ghosts/README_EN.md)  |  `Math`  |  Medium  |    |
|  [0790](https://leetcode.com/problems/domino-and-tromino-tiling)  |  [Domino and Tromino Tiling](leetcode/0700-0799/0790.Domino%20and%20Tromino%20Tiling/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0791](https://leetcode.com/problems/custom-sort-string)  |  [Custom Sort String](leetcode/0700-0799/0791.Custom%20Sort%20String/README_EN.md)  |  `String`  |  Medium  |    |
|  [0792](https://leetcode.com/problems/number-of-matching-subsequences)  |  [Number of Matching Subsequences](leetcode/0700-0799/0792.Number%20of%20Matching%20Subsequences/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0793](https://leetcode.com/problems/preimage-size-of-factorial-zeroes-function)  |  [Preimage Size of Factorial Zeroes Function](leetcode/0700-0799/0793.Preimage%20Size%20of%20Factorial%20Zeroes%20Function/README_EN.md)  |  `Binary Search`  |  Hard  |    |
|  [0794](https://leetcode.com/problems/valid-tic-tac-toe-state)  |  [Valid Tic-Tac-Toe State](leetcode/0700-0799/0794.Valid%20Tic-Tac-Toe%20State/README_EN.md)  |  `Recursion`,`Math`  |  Medium  |    |
|  [0795](https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum)  |  [Number of Subarrays with Bounded Maximum](leetcode/0700-0799/0795.Number%20of%20Subarrays%20with%20Bounded%20Maximum/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0796](https://leetcode.com/problems/rotate-string)  |  [Rotate String](leetcode/0700-0799/0796.Rotate%20String/README_EN.md)  |    |  Easy  |    |
|  [0797](https://leetcode.com/problems/all-paths-from-source-to-target)  |  [All Paths From Source to Target](leetcode/0700-0799/0797.All%20Paths%20From%20Source%20to%20Target/README_EN.md)  |  `Depth-first Search`,`Graph`,`Backtracking`  |  Medium  |    |
|  [0798](https://leetcode.com/problems/smallest-rotation-with-highest-score)  |  [Smallest Rotation with Highest Score](leetcode/0700-0799/0798.Smallest%20Rotation%20with%20Highest%20Score/README_EN.md)  |    |  Hard  |    |
|  [0799](https://leetcode.com/problems/champagne-tower)  |  [Champagne Tower](leetcode/0700-0799/0799.Champagne%20Tower/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0800](https://leetcode.com/problems/similar-rgb-color)  |  [Similar RGB Color](leetcode/0800-0899/0800.Similar%20RGB%20Color/README_EN.md)  |  `Math`,`String`  |  Easy  |  🔒  |
|  [0801](https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing)  |  [Minimum Swaps To Make Sequences Increasing](leetcode/0800-0899/0801.Minimum%20Swaps%20To%20Make%20Sequences%20Increasing/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0802](https://leetcode.com/problems/find-eventual-safe-states)  |  [Find Eventual Safe States](leetcode/0800-0899/0802.Find%20Eventual%20Safe%20States/README_EN.md)  |  `Depth-first Search`,`Graph`  |  Medium  |    |
|  [0803](https://leetcode.com/problems/bricks-falling-when-hit)  |  [Bricks Falling When Hit](leetcode/0800-0899/0803.Bricks%20Falling%20When%20Hit/README_EN.md)  |  `Union Find`  |  Hard  |    |
|  [0804](https://leetcode.com/problems/unique-morse-code-words)  |  [Unique Morse Code Words](leetcode/0800-0899/0804.Unique%20Morse%20Code%20Words/README_EN.md)  |  `String`  |  Easy  |    |
|  [0805](https://leetcode.com/problems/split-array-with-same-average)  |  [Split Array With Same Average](leetcode/0800-0899/0805.Split%20Array%20With%20Same%20Average/README_EN.md)  |  `Math`  |  Hard  |    |
|  [0806](https://leetcode.com/problems/number-of-lines-to-write-string)  |  [Number of Lines To Write String](leetcode/0800-0899/0806.Number%20of%20Lines%20To%20Write%20String/README_EN.md)  |    |  Easy  |    |
|  [0807](https://leetcode.com/problems/max-increase-to-keep-city-skyline)  |  [Max Increase to Keep City Skyline](leetcode/0800-0899/0807.Max%20Increase%20to%20Keep%20City%20Skyline/README_EN.md)  |    |  Medium  |    |
|  [0808](https://leetcode.com/problems/soup-servings)  |  [Soup Servings](leetcode/0800-0899/0808.Soup%20Servings/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0809](https://leetcode.com/problems/expressive-words)  |  [Expressive Words](leetcode/0800-0899/0809.Expressive%20Words/README_EN.md)  |  `String`  |  Medium  |    |
|  [0810](https://leetcode.com/problems/chalkboard-xor-game)  |  [Chalkboard XOR Game](leetcode/0800-0899/0810.Chalkboard%20XOR%20Game/README_EN.md)  |  `Math`  |  Hard  |    |
|  [0811](https://leetcode.com/problems/subdomain-visit-count)  |  [Subdomain Visit Count](leetcode/0800-0899/0811.Subdomain%20Visit%20Count/README_EN.md)  |  `Hash Table`  |  Easy  |    |
|  [0812](https://leetcode.com/problems/largest-triangle-area)  |  [Largest Triangle Area](leetcode/0800-0899/0812.Largest%20Triangle%20Area/README_EN.md)  |  `Math`  |  Easy  |    |
|  [0813](https://leetcode.com/problems/largest-sum-of-averages)  |  [Largest Sum of Averages](leetcode/0800-0899/0813.Largest%20Sum%20of%20Averages/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0814](https://leetcode.com/problems/binary-tree-pruning)  |  [Binary Tree Pruning](leetcode/0800-0899/0814.Binary%20Tree%20Pruning/README_EN.md)  |  `Tree`  |  Medium  |    |
|  [0815](https://leetcode.com/problems/bus-routes)  |  [Bus Routes](leetcode/0800-0899/0815.Bus%20Routes/README_EN.md)  |  `Breadth-first Search`  |  Hard  |    |
|  [0816](https://leetcode.com/problems/ambiguous-coordinates)  |  [Ambiguous Coordinates](leetcode/0800-0899/0816.Ambiguous%20Coordinates/README_EN.md)  |  `String`  |  Medium  |    |
|  [0817](https://leetcode.com/problems/linked-list-components)  |  [Linked List Components](leetcode/0800-0899/0817.Linked%20List%20Components/README_EN.md)  |  `Linked List`  |  Medium  |    |
|  [0818](https://leetcode.com/problems/race-car)  |  [Race Car](leetcode/0800-0899/0818.Race%20Car/README_EN.md)  |  `Heap`,`Dynamic Programming`  |  Hard  |    |
|  [0819](https://leetcode.com/problems/most-common-word)  |  [Most Common Word](leetcode/0800-0899/0819.Most%20Common%20Word/README_EN.md)  |  `String`  |  Easy  |    |
|  [0820](https://leetcode.com/problems/short-encoding-of-words)  |  [Short Encoding of Words](leetcode/0800-0899/0820.Short%20Encoding%20of%20Words/README_EN.md)  |    |  Medium  |    |
|  [0821](https://leetcode.com/problems/shortest-distance-to-a-character)  |  [Shortest Distance to a Character](leetcode/0800-0899/0821.Shortest%20Distance%20to%20a%20Character/README_EN.md)  |    |  Easy  |    |
|  [0822](https://leetcode.com/problems/card-flipping-game)  |  [Card Flipping Game](leetcode/0800-0899/0822.Card%20Flipping%20Game/README_EN.md)  |    |  Medium  |    |
|  [0823](https://leetcode.com/problems/binary-trees-with-factors)  |  [Binary Trees With Factors](leetcode/0800-0899/0823.Binary%20Trees%20With%20Factors/README_EN.md)  |    |  Medium  |    |
|  [0824](https://leetcode.com/problems/goat-latin)  |  [Goat Latin](leetcode/0800-0899/0824.Goat%20Latin/README_EN.md)  |  `String`  |  Easy  |    |
|  [0825](https://leetcode.com/problems/friends-of-appropriate-ages)  |  [Friends Of Appropriate Ages](leetcode/0800-0899/0825.Friends%20Of%20Appropriate%20Ages/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0826](https://leetcode.com/problems/most-profit-assigning-work)  |  [Most Profit Assigning Work](leetcode/0800-0899/0826.Most%20Profit%20Assigning%20Work/README_EN.md)  |  `Two Pointers`  |  Medium  |    |
|  [0827](https://leetcode.com/problems/making-a-large-island)  |  [Making A Large Island](leetcode/0800-0899/0827.Making%20A%20Large%20Island/README_EN.md)  |  `Depth-first Search`  |  Hard  |    |
|  [0828](https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string)  |  [Count Unique Characters of All Substrings of a Given String](leetcode/0800-0899/0828.Count%20Unique%20Characters%20of%20All%20Substrings%20of%20a%20Given%20String/README_EN.md)  |  `Two Pointers`  |  Hard  |    |
|  [0829](https://leetcode.com/problems/consecutive-numbers-sum)  |  [Consecutive Numbers Sum](leetcode/0800-0899/0829.Consecutive%20Numbers%20Sum/README_EN.md)  |  `Math`  |  Hard  |    |
|  [0830](https://leetcode.com/problems/positions-of-large-groups)  |  [Positions of Large Groups](leetcode/0800-0899/0830.Positions%20of%20Large%20Groups/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0831](https://leetcode.com/problems/masking-personal-information)  |  [Masking Personal Information](leetcode/0800-0899/0831.Masking%20Personal%20Information/README_EN.md)  |  `String`  |  Medium  |    |
|  [0832](https://leetcode.com/problems/flipping-an-image)  |  [Flipping an Image](leetcode/0800-0899/0832.Flipping%20an%20Image/README_EN.md)  |  `Array`  |  Easy  |    |
|  [0833](https://leetcode.com/problems/find-and-replace-in-string)  |  [Find And Replace in String](leetcode/0800-0899/0833.Find%20And%20Replace%20in%20String/README_EN.md)  |  `String`  |  Medium  |    |
|  [0834](https://leetcode.com/problems/sum-of-distances-in-tree)  |  [Sum of Distances in Tree](leetcode/0800-0899/0834.Sum%20of%20Distances%20in%20Tree/README_EN.md)  |  `Tree`,`Depth-first Search`  |  Hard  |    |
|  [0835](https://leetcode.com/problems/image-overlap)  |  [Image Overlap](leetcode/0800-0899/0835.Image%20Overlap/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0836](https://leetcode.com/problems/rectangle-overlap)  |  [Rectangle Overlap](leetcode/0800-0899/0836.Rectangle%20Overlap/README_EN.md)  |  `Math`  |  Easy  |    |
|  [0837](https://leetcode.com/problems/new-21-game)  |  [New 21 Game](leetcode/0800-0899/0837.New%2021%20Game/README_EN.md)  |  `Dynamic Programming`  |  Medium  |    |
|  [0838](https://leetcode.com/problems/push-dominoes)  |  [Push Dominoes](leetcode/0800-0899/0838.Push%20Dominoes/README_EN.md)  |  `Two Pointers`,`Dynamic Programming`  |  Medium  |    |
|  [0839](https://leetcode.com/problems/similar-string-groups)  |  [Similar String Groups](leetcode/0800-0899/0839.Similar%20String%20Groups/README_EN.md)  |  `Depth-first Search`,`Union Find`,`Graph`  |  Hard  |    |
|  [0840](https://leetcode.com/problems/magic-squares-in-grid)  |  [Magic Squares In Grid](leetcode/0800-0899/0840.Magic%20Squares%20In%20Grid/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0841](https://leetcode.com/problems/keys-and-rooms)  |  [Keys and Rooms](leetcode/0800-0899/0841.Keys%20and%20Rooms/README_EN.md)  |  `Depth-first Search`,`Graph`  |  Medium  |    |
|  [0842](https://leetcode.com/problems/split-array-into-fibonacci-sequence)  |  [Split Array into Fibonacci Sequence](leetcode/0800-0899/0842.Split%20Array%20into%20Fibonacci%20Sequence/README_EN.md)  |  `Greedy`,`String`,`Backtracking`  |  Medium  |    |
|  [0843](https://leetcode.com/problems/guess-the-word)  |  [Guess the Word](leetcode/0800-0899/0843.Guess%20the%20Word/README_EN.md)  |  `Minimax`  |  Hard  |    |
|  [0844](https://leetcode.com/problems/backspace-string-compare)  |  [Backspace String Compare](leetcode/0800-0899/0844.Backspace%20String%20Compare/README_EN.md)  |  `Stack`,`Two Pointers`  |  Easy  |    |
|  [0845](https://leetcode.com/problems/longest-mountain-in-array)  |  [Longest Mountain in Array](leetcode/0800-0899/0845.Longest%20Mountain%20in%20Array/README_EN.md)  |  `Two Pointers`  |  Medium  |    |
|  [0846](https://leetcode.com/problems/hand-of-straights)  |  [Hand of Straights](leetcode/0800-0899/0846.Hand%20of%20Straights/README_EN.md)  |  `Ordered Map`  |  Medium  |    |
|  [0847](https://leetcode.com/problems/shortest-path-visiting-all-nodes)  |  [Shortest Path Visiting All Nodes](leetcode/0800-0899/0847.Shortest%20Path%20Visiting%20All%20Nodes/README_EN.md)  |  `Breadth-first Search`,`Dynamic Programming`  |  Hard  |    |
|  [0848](https://leetcode.com/problems/shifting-letters)  |  [Shifting Letters](leetcode/0800-0899/0848.Shifting%20Letters/README_EN.md)  |  `String`  |  Medium  |    |
|  [0849](https://leetcode.com/problems/maximize-distance-to-closest-person)  |  [Maximize Distance to Closest Person](leetcode/0800-0899/0849.Maximize%20Distance%20to%20Closest%20Person/README_EN.md)  |  `Array`  |  Medium  |    |
|  [0850](https://leetcode.com/problems/rectangle-area-ii)  |  [Rectangle Area II](leetcode/0800-0899/0850.Rectangle%20Area%20II/README_EN.md)  |  `Segment Tree`,`Line Sweep`  |  Hard  |    |
|  [0851](https://leetcode.com/problems/loud-and-rich)  |  [Loud and Rich](leetcode/0800-0899/0851.Loud%20and%20Rich/README_EN.md)  |  `Depth-first Search`  |  Medium  |    |
|  [0852](https://leetcode.com/problems/peak-index-in-a-mountain-array)  |  [Peak Index in a Mountain Array](leetcode/0800-0899/0852.Peak%20Index%20in%20a%20Mountain%20Array/README_EN.md)  |  `Binary Search`  |  Easy  |    |
|  [0853](https://leetcode.com/problems/car-fleet)  |  [Car Fleet](leetcode/0800-0899/0853.Car%20Fleet/README_EN.md)  |  `Sort`  |  Medium  |    |
|  [0854](https://leetcode.com/problems/k-similar-strings)  |  [K-Similar Strings](leetcode/0800-0899/0854.K-Similar%20Strings/README_EN.md)  |  `Breadth-first Search`,`Graph`  |  Hard  |    |
|  [0855](https://leetcode.com/problems/exam-room)  |  [Exam Room](leetcode/0800-0899/0855.Exam%20Room/README_EN.md)  |  `Ordered Map`  |  Medium  |    |
